id,medicineName,dose,volumeUnit,pvp,reImbursementRate
60,Ácido Alendrónico Nozat,70 mg,Blister - 4 unidade(s),7.85,69%
61,Ácido Alendrónico Pentafarma,70 mg,Blister - 4 unidade(s),8.2,69%
62,Ácido Alendrónico Pharmakern,70 mg,Blister - 4 unidade(s),8.24,69%
63,Ácido Alendrónico ratiopharm,70 mg,Blister - 4 unidade(s),8.24,69%
64,Ácido Alendrónico Sandoz,70 mg,Blister - 4 unidade(s),8.24,69%
65,Ácido Alendrónico Tetrafarma,70 mg,Blister - 4 unidade(s),6.58,69%
66,Ácido Alendrónico Teva,70 mg,Blister - 4 unidade(s),4,69%
67,Ácido Alendrónico ToLife 70 mg Comprimidos,70 mg,Blister - 4 unidade(s),6.68,69%
68,Ácido Ibandrónico Alter,150 mg,Blister - 1 unidade(s),10.35,69%
69,Ácido Ibandrónico Aurovitas,150 mg,Blister - 1 unidade(s),13.85,69%
70,Ácido Ibandrónico Bluefish,150 mg,Blister - 1 unidade(s),6.42,69%
71,Ácido Ibandrónico Ciclum,150 mg,Blister - 1 unidade(s),8.5,69%
72,Ácido Ibandrónico Cinfa,150 mg,Blister - 1 unidade(s),6.76,69%
73,Ácido Ibandrónico Farmoz,150 mg,Blister - 1 unidade(s),11.73,69%
74,Ácido Ibandrónico Gedeon Richter,150 mg,Blister - 1 unidade(s),6.42,69%
75,Ácido Ibandrónico Generis,150 mg,Blister - 1 unidade(s),13.85,69%
76,Ácido Ibandrónico GP,150 mg,Blister - 1 unidade(s),8.56,69%
77,Ácido Ibandrónico Mylan,150 mg,Blister - 1 unidade(s),13.85,69%
78,Ácido Ibandrónico Pentafarma,150 mg,Blister - 1 unidade(s),8.55,69%
79,Ácido Ibandrónico Pharmakern,150 mg,Blister - 1 unidade(s),13.85,69%
80,Ácido Ibandrónico Ratiopharm,150 mg,Blister - 1 unidade(s),9.24,69%
81,Ácido Ibandrónico Sandoz,150 mg,Blister - 1 unidade(s),8.56,69%
82,Ácido Ibandrónico Stada,150 mg,Blister - 1 unidade(s),6.42,69%
83,Ácido Ibandrónico Teva,150 mg,Blister - 1 unidade(s),13,69%
84,Ácido Ibandrónico toLife,150 mg,Blister - 1 unidade(s),9.24,69%
85,Ácido Valpróico Generis,500 mg,Blister - 60 unidade(s),9.8,90%
86,Ácido Valpróico Generis,300 mg,Blister - 60 unidade(s),6.2,90%
87,Ácido Valpróico Generis,300 mg,Blister - 20 unidade(s),2.96,90%
88,Ácido Valpróico Ratiopharm 300 mg Comprimidos de libertação prolongada,300 mg,Blister - 20 unidade(s),3.37,90%
89,Ácido Valpróico Ratiopharm 500 mg Comprimidos de libertação prolongada,500 mg,Blister - 60 unidade(s),9.8,90%
90,Adoport,5 mg,Blister - 30 unidade(s),185.95,0%
91,Adoport,0.5 mg,Blister - 30 unidade(s),25.13,0%
92,Adoport,1 mg,Blister - 60 unidade(s),83.23,0%
93,Airalam,20 mg + 120 mg,Blister - 24 unidade(s),17.33,0%
94,Alfuzosina Aurobindo,10 mg,Blister - 30 unidade(s),6.52,37%
95,Alfuzosina Aurobindo,10 mg,Blister - 10 unidade(s),3.46,37%
96,Alfuzosina Aurovitas,10 mg,Blister - 10 unidade(s),2.75,37%
97,Alfuzosina Ciclum 10 mg Comprimidos,10 mg,Blister - 30 unidade(s),6.67,37%
98,Alfuzosina Ciclum 10 mg Comprimidos,10 mg,Blister - 10 unidade(s),3.46,37%
99,Alfuzosina Generis,10 mg,Blister - 30 unidade(s),7.95,37%
100,Alfuzosina Mepha 10 mg Comprimidos de libertação prolongada,10 mg,Blister - 30 unidade(s),7.95,37%
101,Alfuzosina Mepha 10 mg Comprimidos de libertação prolongada,10 mg,Blister - 10 unidade(s),3.46,0%
102,Alfuzosina Mepha 5 mg Comprimidos de libertação prolongada,5 mg,Blister - 60 unidade(s),12.17,37%
103,Alfuzosina Mepha 5 mg Comprimidos de libertação prolongada,5 mg,Blister - 20 unidade(s),4.18,37%
104,Alfuzosina Mylan,10 mg,Blister - 30 unidade(s),7.95,37%
105,Alfuzosina Mylan,10 mg,Blister - 10 unidade(s),3.46,37%
106,Alfuzosina Ratiopharm 10 mg Comprimidos de libertação prolongada,10 mg,Blister - 30 unidade(s),7.95,37%
107,Alfuzosina Sandoz 10 mg Comprimidos de libertação prolongada,10 mg,Blister - 30 unidade(s),7.95,37%
108,Alfuzosina Teva,10 mg,Blister - 30 unidade(s),6.68,37%
109,Alfuzosina Zentiva,10 mg,Blister - 30 unidade(s),7.95,37%
110,Alkimus,5 mg,Recipiente para comprimidos - 56 unidade(s),56.84,0%
111,Alkimus,5 mg,Recipiente para comprimidos - 28 unidade(s),33.67,0%
112,Alkimus,5 mg,Recipiente para comprimidos - 7 unidade(s),11.49,0%
113,Alkimus,10 mg,Recipiente para comprimidos - 56 unidade(s),72.61,0%
114,Alkimus,10 mg,Recipiente para comprimidos - 28 unidade(s),43.06,0%
115,Alopurinol Ciclum 300 mg Comprimidos,300 mg,Blister - 20 unidade(s),2.03,69%
116,Alopurinol Ciclum 300 mg Comprimidos,300 mg,Blister - 60 unidade(s),3.68,69%
117,Alopurinol Labesfal,300 mg,Blister - 60 unidade(s),3.69,69%
118,Alopurinol Labesfal,100 mg,Blister - 60 unidade(s),3.09,69%
119,Alopurinol Ratiopharm 300 mg Comprimidos,300 mg,Blister - 50 unidade(s),3.97,69%
120,Alopurinol Ratiopharm 300 mg Comprimidos,300 mg,Blister - 20 unidade(s),2.57,69%
121,Alprazolam Basi,0.25 mg,Blister - 60 unidade(s),3.25,37%
122,Alprazolam Basi,0.5 mg,Blister - 60 unidade(s),3.45,37%
123,Alprazolam Basi,1 mg,Blister - 60 unidade(s),4.41,37%
124,"Alprazolam Bluepharma 0,25 mg Comprimidos",0.25 mg,Blister - 60 unidade(s),3.85,37%
125,"Alprazolam Bluepharma 0,25 mg Comprimidos",0.25 mg,Blister - 20 unidade(s),2.48,37%
126,"Alprazolam Bluepharma 0,5 mg Comprimidos",0.5 mg,Blister - 60 unidade(s),4.62,37%
127,"Alprazolam Bluepharma 0,5 mg Comprimidos",0.5 mg,Blister - 20 unidade(s),2.4,37%
128,"Alprazolam Bluepharma 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 60 unidade(s),4.18,37%
129,"Alprazolam Bluepharma 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 20 unidade(s),2.25,37%
130,Alprazolam Bluepharma 1 mg Comprimidos,1 mg,Blister - 60 unidade(s),5.41,37%
131,Alprazolam Bluepharma 1 mg Comprimidos,1 mg,Blister - 20 unidade(s),2.53,37%
132,Alprazolam Bluepharma 1 mg Comprimidos de libertação modificada,1 mg,Blister - 60 unidade(s),5.3,37%
133,Alprazolam Bluepharma 1 mg Comprimidos de libertação modificada,1 mg,Blister - 20 unidade(s),2.69,37%
134,Alprazolam Bluepharma 2 mg Comprimidos de libertação modificada,2 mg,Blister - 60 unidade(s),9.86,37%
135,"Alprazolam cinfa 0,5 mg Comprimidos",0.5 mg,Blister - 60 unidade(s),3.75,37%
136,Alprazolam cinfa 1 mg Comprimidos,1 mg,Blister - 60 unidade(s),5.31,37%
137,"Alprazolam Generis 0,25 mg Comprimidos",0.25 mg,Blister - 60 unidade(s),3.79,37%
138,"Alprazolam Generis 0,5 mg Comprimidos",0.5 mg,Blister - 60 unidade(s),3.86,37%
139,"Alprazolam Generis 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 60 unidade(s),4.33,37%
140,"Alprazolam Generis 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 20 unidade(s),2.25,37%
141,Alprazolam Generis 1 mg Comprimidos,1 mg,Blister - 20 unidade(s),2.54,37%
142,Alprazolam Generis 1 mg Comprimidos,1 mg,Blister - 60 unidade(s),5.31,37%
143,Alprazolam Generis 1 mg Comprimidos de libertação modificada,1 mg,Blister - 60 unidade(s),5.34,37%
144,Alprazolam Generis 1 mg Comprimidos de libertação modificada,1 mg,Blister - 20 unidade(s),2.72,37%
145,Alprazolam Generis 2 mg Comprimidos de libertação modificada,2 mg,Blister - 60 unidade(s),9.86,37%
146,Alprazolam Labesfal,0.25 mg,Blister - 60 unidade(s),3.75,37%
147,Alprazolam Labesfal,0.25 mg,Blister - 20 unidade(s),1.9,37%
148,Alprazolam Labesfal,0.5 mg,Blister - 60 unidade(s),3.53,37%
149,"Alprazolam Labesfal 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 40 unidade(s),2.57,37%
150,Alprazolam Labesfal 1 mg Comprimidos de libertação modificada,1 mg,Blister - 40 unidade(s),4.03,37%
151,Alprazolam Mylan,0.5 mg,Blister - 20 unidade(s),2.06,37%
152,Alprazolam Mylan,0.5 mg,Blister - 60 unidade(s),3.86,37%
153,Alprazolam Mylan,1 mg,Blister - 60 unidade(s),5.44,37%
154,Alprazolam Mylan,1 mg,Blister - 20 unidade(s),2.54,37%
155,Alprazolam Mylan,0.25 mg,Blister - 60 unidade(s),3.85,37%
156,Alprazolam Mylan,0.25 mg,Blister - 20 unidade(s),2.11,37%
157,Alprazolam Mylan,0.5 mg,Blister - 60 unidade(s),3.48,37%
158,Alprazolam Mylan,0.5 mg,Blister - 20 unidade(s),1.95,37%
159,Alprazolam Mylan,1 mg,Blister - 60 unidade(s),5.34,37%
160,Alprazolam Mylan,1 mg,Blister - 20 unidade(s),2.7,37%
161,Alprazolam Mylan,2 mg,Blister - 60 unidade(s),9.86,37%
162,Alprazolam Mylan,2 mg,Blister - 20 unidade(s),3.85,37%
163,"Alprazolam Pazolam 0,25 mg Comprimidos",0.25 mg,Blister - 60 unidade(s),3.85,37%
164,"Alprazolam Pazolam 0,25 mg Comprimidos",0.25 mg,Blister - 20 unidade(s),2.5,37%
165,"Alprazolam Pazolam 0,5 mg Comprimidos",0.5 mg,Blister - 60 unidade(s),4.74,37%
166,"Alprazolam Pazolam 0,5 mg Comprimidos",0.5 mg,Blister - 20 unidade(s),2.41,37%
167,"Alprazolam Pazolam 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 60 unidade(s),4.44,37%
168,"Alprazolam Pazolam 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 20 unidade(s),2.35,37%
169,Alprazolam Pazolam 1 mg Comprimidos,1 mg,Blister - 20 unidade(s),2.55,37%
170,Alprazolam Pazolam 1 mg Comprimidos,1 mg,Blister - 60 unidade(s),5.69,37%
171,Alprazolam Pazolam 1 mg Comprimidos de libertação modificada,1 mg,Blister - 60 unidade(s),5.34,37%
172,Alprazolam Pazolam 1 mg Comprimidos de libertação modificada,1 mg,Blister - 20 unidade(s),2.72,37%
173,Alprazolam Pazolam 2 mg Comprimidos de libertação modificada,2 mg,Blister - 60 unidade(s),9.86,37%
174,Alprazolam Pazolam 2 mg Comprimidos de libertação modificada,2 mg,Blister - 20 unidade(s),3.85,37%
175,Alprazolam Prazam,0.5 mg,Blister - 60 unidade(s),3.74,37%
176,Alprazolam Prazam,0.5 mg,Blister - 20 unidade(s),2.03,37%
177,Alprazolam Prazam,1 mg,Blister - 60 unidade(s),5,37%
178,Alprazolam Prazam,1 mg,Blister - 20 unidade(s),2.49,37%
179,Alprazolam Prazam,0.25 mg,Blister - 60 unidade(s),3.73,37%
180,Alprazolam Prazam,0.25 mg,Blister - 20 unidade(s),2.02,37%
181,"Alprazolam ratiopharm 0,25 mg Comprimidos",0.25 mg,Blister - 60 unidade(s),3.85,37%
182,"Alprazolam ratiopharm 0,25 mg Comprimidos",0.25 mg,Blister - 20 unidade(s),2.48,37%
183,"Alprazolam ratiopharm 0,5 mg Comprimidos",0.5 mg,Blister - 20 unidade(s),2.1,37%
184,"Alprazolam ratiopharm 0,5 mg Comprimidos",0.5 mg,Blister - 60 unidade(s),4.02,37%
185,"Alprazolam Ratiopharm 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 60 unidade(s),4.11,37%
186,"Alprazolam Ratiopharm 0,5 mg Comprimidos de libertação modificada",0.5 mg,Blister - 20 unidade(s),2.22,37%
187,Alprazolam ratiopharm 1 mg Comprimidos,1 mg,Blister - 60 unidade(s),5.07,37%
188,Alprazolam ratiopharm 1 mg Comprimidos,1 mg,Blister - 20 unidade(s),2.54,37%
189,Alprazolam Ratiopharm 1 mg Comprimidos de libertação modificada,1 mg,Blister - 60 unidade(s),5.34,37%
190,Alprazolam Ratiopharm 1 mg Comprimidos de libertação modificada,1 mg,Blister - 20 unidade(s),2.72,37%
191,Alprazolam Sandoz,0.5 mg,Blister - 60 unidade(s),4.02,37%
192,Alprazolam Sandoz,0.25 mg,Blister - 60 unidade(s),3.61,37%
193,Alprazolam Sandoz,0.25 mg,Blister - 20 unidade(s),2.02,37%
194,Alprazolam Sandoz,1 mg,Blister - 60 unidade(s),5.44,37%
195,Amelye,2 mg + 0.03 mg,Blister - 84 unidade(s),14.03,69%
196,Amelye,2 mg + 0.03 mg,Blister - 28 unidade(s),5.75,69%
197,Amiloride + Hidroclorotiazida Ratiopharm 5 mg e 50 mg Comprimidos,50 mg + 5 mg,Blister - 60 unidade(s),4.53,69%
198,Amiodarona Aurobindo,200 mg,Blister - 10 unidade(s),2.09,69%
199,Amiodarona Bluepharma,200 mg,Blister - 60 unidade(s),6.03,69%
200,Amiodarona Bluepharma,200 mg,Blister - 10 unidade(s),2.23,69%
201,Amiodarona Fresenius Kabi 200 mg Comprimidos,200 mg,Blister - 60 unidade(s),6.03,0%
202,Amiodarona Fresenius Kabi 200 mg Comprimidos,200 mg,Blister - 10 unidade(s),2.29,0%
203,Amiodarona Fresenius Kabi 200 mg Comprimidos,200 mg,Blister - 30 unidade(s),3.51,0%
204,Amiodarona Generis 200 mg Comprimidos,200 mg,Blister - 60 unidade(s),6.03,69%
205,Amiodarona Generis 200 mg Comprimidos,200 mg,Blister - 10 unidade(s),2.23,69%
206,Amiodarona GP 200 mg Comprimidos,200 mg,Blister - 60 unidade(s),6.03,69%
207,Amiodarona GP 200 mg Comprimidos,200 mg,Blister - 30 unidade(s),3.51,0%
208,Amiodarona GP 200 mg Comprimidos,200 mg,Blister - 10 unidade(s),2.23,69%
209,Amiodarona Labesfal 200 mg Comprimidos,200 mg,Blister - 60 unidade(s),6.03,69%
210,Amiodarona Labesfal 200 mg Comprimidos,200 mg,Blister - 10 unidade(s),2.2,69%
211,Amiodarona Mylan,200 mg,Blister - 10 unidade(s),2.21,69%
212,Amiodarona Mylan,200 mg,Blister - 60 unidade(s),6.03,69%
213,Amissulprida Aurovitas,50 mg,Blister - 20 unidade(s),4.16,90%
214,Amissulprida Aurovitas,50 mg,Blister - 60 unidade(s),9.86,90%
215,Amissulprida Aurovitas,200 mg,Blister - 60 unidade(s),22.11,90%
216,Amissulprida Generis,50 mg,Blister - 60 unidade(s),9.86,90%
217,Amissulprida Generis,50 mg,Blister - 20 unidade(s),4.17,90%
218,Amissulprida Generis,200 mg,Blister - 60 unidade(s),22.11,90%
219,Amissulprida Mylan,50 mg,Blister - 60 unidade(s),9.86,90%
220,Amissulprida Mylan,50 mg,Blister - 20 unidade(s),4.17,90%
221,Amlodipina + Olmesartan medoxomilo Alter,5 mg + 20 mg,Blister - 14 unidade(s),4.32,69%
222,Amlodipina + Olmesartan medoxomilo Alter,5 mg + 20 mg,Blister - 56 unidade(s),15.36,69%
223,Amlodipina + Olmesartan medoxomilo Ciclum,5 mg + 20 mg,Blister - 14 unidade(s),4.79,69%
224,Amlodipina + Olmesartan medoxomilo Ciclum,5 mg + 20 mg,Blister - 56 unidade(s),17.03,69%
225,Amlodipina + Olmesartan medoxomilo Cinfa,5 mg + 20 mg,Blister - 56 unidade(s),17.93,69%
226,Amlodipina + Olmesartan medoxomilo Cinfa,5 mg + 20 mg,Blister - 14 unidade(s),5.05,69%
227,Amlodipina + Olmesartan medoxomilo Krka,5 mg + 20 mg,Blister - 14 unidade(s),5.91,69%
228,Amlodipina + Olmesartan medoxomilo Krka,5 mg + 20 mg,Blister - 56 unidade(s),17.93,69%
229,Amlodipina + Olmesartan medoxomilo Mylan,5 mg + 20 mg,Blister - 56 unidade(s),16.17,69%
230,Amlodipina + Olmesartan medoxomilo Mylan,5 mg + 20 mg,Blister - 14 unidade(s),4.55,69%
231,Amlodipina + Olmesartan medoxomilo ratiopharm,5 mg + 20 mg,Blister - 56 unidade(s),19.88,69%
232,Amlodipina + Olmesartan medoxomilo ratiopharm,5 mg + 20 mg,Blister - 14 unidade(s),5.61,69%
233,Amlodipina + Olmesartan medoxomilo Teva,5 mg + 20 mg,Blister - 56 unidade(s),18.88,69%
234,Amlodipina + Olmesartan medoxomilo Teva,5 mg + 20 mg,Blister - 14 unidade(s),5.32,69%
235,Amlodipina + Olmesartan medoxomilo toLife,5 mg + 20 mg,Blister - 56 unidade(s),17.03,69%
236,Amlodipina + Olmesartan medoxomilo toLife,5 mg + 20 mg,Blister - 14 unidade(s),5.91,69%
237,Amlodipina Alter 10 mg comprimidos,10 mg,Blister - 60 unidade(s),4.52,69%
238,Amlodipina Alter 5 mg comprimidos,5 mg,Blister - 60 unidade(s),3.36,69%
239,Amlodipina Atral,5 mg,Blister - 20 unidade(s),2.99,69%
240,Amlodipina Atral,5 mg,Blister - 60 unidade(s),6.5,69%
241,Amlodipina Aurovitas,5 mg,Blister - 20 unidade(s),3.85,69%
242,Amlodipina Aurovitas,5 mg,Blister - 60 unidade(s),3.98,69%
243,Amlodipina Aurovitas,10 mg,Blister - 60 unidade(s),8.26,69%
244,Amlodipina Azevedos,10 mg,Blister - 30 unidade(s),5.13,69%
245,Amlodipina Basi,5 mg,Blister - 60 unidade(s),2.88,69%
246,Amlodipina Basi,10 mg,Blister - 60 unidade(s),4.11,69%
247,Amlodipina Bluepharma,5 mg,Blister - 60 unidade(s),6.46,69%
248,Amlodipina Bluepharma,5 mg,Blister - 10 unidade(s),2.85,69%
249,Amlodipina Bluepharma,10 mg,Blister - 60 unidade(s),9.8,69%
250,Amlodipina Cardionox 10 mg Comprimidos,10 mg,Blister - 60 unidade(s),10.81,69%
251,Amlodipina Cardionox 5 mg Comprimidos,5 mg,Blister - 60 unidade(s),6.61,69%
252,Amlodipina Ciclum,10 mg,Blister - 60 unidade(s),4.22,69%
253,Amlodipina Ciclum,5 mg,Blister - 20 unidade(s),3.42,69%
254,Amlodipina Ciclum,5 mg,Blister - 60 unidade(s),2.86,69%
255,Amlodipina Cinfa,5 mg,Blister - 60 unidade(s),4.91,69%
256,Amlodipina Cinfa,10 mg,Blister - 60 unidade(s),10.81,69%
257,Amlodipina Drime,5 mg,Blister - 60 unidade(s),6.61,69%
258,Amlodipina Drime,10 mg,Blister - 60 unidade(s),10.81,69%
259,Amlodipina Farmoz 10 mg Comprimidos,10 mg,Blister - 60 unidade(s),4.22,69%
260,Amlodipina Farmoz 5 mg Comprimidos,5 mg,Blister - 60 unidade(s),3.14,69%
261,Amlodipina Farmoz 5 mg Comprimidos,5 mg,Blister - 10 unidade(s),2.86,69%
262,Amlodipina Generis 10 mg Comprimidos,10 mg,Blister - 60 unidade(s),6.56,69%
263,Amlodipina Generis 5 mg Comprimidos,5 mg,Blister - 60 unidade(s),3.38,69%
264,Amlodipina GP 10 mg Comprimidos,10 mg,Blister - 60 unidade(s),6.65,69%
265,Amlodipina GP 5 mg Comprimidos,5 mg,Blister - 60 unidade(s),5.65,69%
266,Amlodipina GP 5 mg Comprimidos,5 mg,Blister - 10 unidade(s),2.1,69%
267,Amlodipina Jaba 10 mg comprimidos,10 mg,Blister - 60 unidade(s),4.12,69%
268,Amlodipina Jaba 5 mg comprimidos,5 mg,Blister - 60 unidade(s),2.79,69%
269,Amlodipina Jaba 5 mg comprimidos,5 mg,Blister - 20 unidade(s),2.24,69%
270,Amlodipina Krka,5 mg,Blister - 60 unidade(s),5.36,69%
271,Amlodipina Krka,5 mg,Blister - 20 unidade(s),1.97,69%
272,Amlodipina Krka,10 mg,Blister - 60 unidade(s),10.81,69%
273,Amlodipina Labesfal,5 mg,Blister - 60 unidade(s),6.06,69%
274,Amlodipina Labesfal,10 mg,Blister - 60 unidade(s),10.81,69%
275,Amlodipina Mepha 10 mg Comprimidos,10 mg,Blister - 60 unidade(s),10.81,69%
276,Amlodipina Mepha 5 mg Comprimidos,5 mg,Blister - 20 unidade(s),3.85,69%
277,Amlodipina Mepha 5 mg Comprimidos,5 mg,Blister - 60 unidade(s),6.61,69%
278,Amlodipina Mibral,5 mg,Blister - 60 unidade(s),6.2,69%
279,Amlodipina Mibral,5 mg,Blister - 10 unidade(s),2.86,69%
280,Amlodipina Mibral,10 mg,Blister - 60 unidade(s),6.68,69%
281,Amlodipina Mylan,5 mg,Blister - 60 unidade(s),6.2,69%
282,Amlodipina Mylan,5 mg,Blister - 10 unidade(s),1.99,69%
283,Amlodipina Mylan,10 mg,Blister - 60 unidade(s),10.81,69%
284,Amlodipina Pharmakern,5 mg,Blister - 60 unidade(s),6.61,69%
285,Amlodipina Pharmakern,10 mg,Blister - 60 unidade(s),9.82,69%
286,Amlodipina Ratiopharm,5 mg,Blister - 60 unidade(s),6.46,69%
287,Amlodipina Ratiopharm,5 mg,Blister - 20 unidade(s),2.99,69%
288,Amlodipina Ratiopharm,10 mg,Blister - 60 unidade(s),10.81,69%
289,Amlodipina Sandoz,5 mg,Blister - 60 unidade(s),6.46,69%
290,Amlodipina Sandoz,10 mg,Blister - 60 unidade(s),10.81,69%
291,Amlodipina Stada,5 mg,Blister - 60 unidade(s),2.96,69%
292,Amlodipina Stada,5 mg,Blister - 20 unidade(s),3.84,69%
293,Amlodipina Stada,10 mg,Blister - 60 unidade(s),4.5,69%
294,Amlodipina Tarmix,10 mg,Blister - 60 unidade(s),4.5,0%
295,Amlodipina Teva,5 mg,Blister - 56 unidade(s),3.14,69%
296,Amlodipina Teva,5 mg,Blister - 20 unidade(s),3.85,69%
297,Amlodipina Teva,10 mg,Blister - 56 unidade(s),4.22,69%
298,Amlodipina toLife 10 mg Comprimidos,10 mg,Blister - 60 unidade(s),6.11,69%
299,Amlodipina toLife 10 mg Comprimidos,10 mg,Blister - 90 unidade(s),16.4,0%
300,Amlodipina toLife 5 mg Comprimidos,5 mg,Blister - 60 unidade(s),3.74,69%
301,Amlodipina toLife 5 mg Comprimidos,5 mg,Blister - 10 unidade(s),2.86,69%
